wavelength,real_1,real_2,real_3,real_4,real_5,real_6,real_7,real_8,real_9,real_10
382.571,1.42,1.49,0.84,0.7,0.66,1.21,1.06,0.2,0.52,0.88
382.935,1.37,1.47,0.76,0.62,0.63,1.17,1.02,0.19,0.48,0.86
383.299,1.36,1.47,0.74,0.6,0.58,1.15,1.01,0.22,0.46,0.83
383.663,1.34,1.47,0.78,0.54,0.59,1.06,1.05,0.25,0.48,0.85
384.027,1.4,1.51,0.83,0.63,0.65,1.11,1.1,0.37,0.61,0.89
384.391,1.32,1.46,0.79,0.62,0.59,1.14,1.08,0.34,0.58,0.9
384.755,1.33,1.44,0.8,0.66,0.58,1.1,1.06,0.27,0.57,0.86
385.118,1.27,1.4,0.8,0.64,0.67,1.1,1.04,0.26,0.61,0.94
385.482,1.22,1.43,0.8,0.64,0.68,1.06,1.07,0.26,0.62,0.93
385.846,1.21,1.39,0.75,0.57,0.63,1.02,1.04,0.17,0.54,0.88
386.21,1.21,1.32,0.72,0.51,0.53,0.94,0.94,0.14,0.5,0.79
386.573,1.26,1.28,0.68,0.5,0.57,0.94,0.95,0.14,0.53,0.71
386.937,1.33,1.28,0.74,0.55,0.64,1.01,0.97,0.15,0.58,0.72
387.301,1.37,1.29,0.79,0.55,0.65,1.04,1.05,0.15,0.7,0.78
387.664,1.37,1.31,0.8,0.57,0.62,1.09,1,0.2,0.66,0.81
388.028,1.36,1.35,0.78,0.59,0.63,1.18,1.09,0.16,0.66,0.87
388.391,1.44,1.45,0.81,0.61,0.7,1.16,1.14,0.16,0.71,0.87
388.755,1.4,1.44,0.81,0.57,0.75,1.15,1.16,0.15,0.72,0.86
389.118,1.4,1.45,0.78,0.52,0.7,1.1,1.16,0.14,0.66,0.78
389.481,1.43,1.41,0.82,0.51,0.69,1.12,1.12,0.18,0.62,0.8
389.845,1.5,1.48,0.89,0.57,0.7,1.13,1.09,0.26,0.71,0.75
390.208,1.57,1.52,0.91,0.67,0.77,1.14,1.15,0.33,0.73,0.81
390.571,1.6,1.53,0.93,0.73,0.81,1.08,1.11,0.4,0.71,0.82
390.934,1.6,1.54,0.93,0.74,0.83,1.06,1.12,0.45,0.73,0.82
391.298,1.6,1.53,0.93,0.78,0.91,1.14,1.09,0.48,0.71,0.83
391.661,1.62,1.54,0.93,0.83,0.99,1.19,1.12,0.45,0.72,0.84
392.024,1.7,1.49,0.96,0.82,1,1.19,1.09,0.46,0.72,0.82
392.387,1.69,1.49,0.99,0.86,0.98,1.27,1.13,0.52,0.72,0.83
392.75,1.73,1.49,0.95,0.84,0.9,1.24,1.08,0.53,0.69,0.8
393.113,1.76,1.53,0.99,0.89,0.94,1.31,1.13,0.59,0.74,0.82
393.476,1.8,1.62,0.98,0.92,0.99,1.34,1.18,0.61,0.76,0.83
393.838,1.79,1.62,0.94,0.88,1.03,1.38,1.2,0.59,0.72,0.9
394.201,1.77,1.61,0.94,0.84,1,1.4,1.09,0.56,0.67,0.84
394.564,1.78,1.66,0.98,0.8,1.01,1.51,1.16,0.52,0.7,0.88
394.927,1.74,1.64,1.02,0.78,1.01,1.53,1.16,0.46,0.65,0.84
395.289,1.73,1.67,0.98,0.69,0.96,1.47,1.14,0.41,0.64,0.8
395.652,1.7,1.65,0.92,0.7,0.93,1.45,1.14,0.35,0.63,0.77
396.015,1.66,1.7,0.91,0.71,0.92,1.36,1.12,0.35,0.63,0.73
396.377,1.68,1.69,0.88,0.66,0.94,1.3,1.13,0.33,0.63,0.72
396.74,1.69,1.74,0.92,0.79,0.98,1.37,1.22,0.34,0.71,0.74
397.102,1.75,1.8,0.98,0.85,1.04,1.39,1.28,0.38,0.78,0.81
397.465,1.73,1.73,0.97,0.78,1.01,1.35,1.27,0.37,0.78,0.78
397.827,1.75,1.74,0.99,0.87,1.03,1.38,1.29,0.39,0.81,0.8
398.189,1.73,1.76,1.03,0.91,1.1,1.4,1.41,0.44,0.89,0.84
398.552,1.73,1.75,1.02,0.94,1.09,1.43,1.45,0.46,0.89,0.81
398.914,1.72,1.77,0.97,0.92,1,1.44,1.36,0.47,0.89,0.83
399.276,1.75,1.75,0.97,1.01,1.02,1.47,1.38,0.5,0.89,0.87
399.638,1.83,1.83,1.08,1.09,1.1,1.56,1.43,0.58,0.98,0.98
400,1.84,1.84,1.13,1.1,1.14,1.62,1.45,0.64,0.99,1.02
400.363,1.82,1.88,1.14,1.12,1.17,1.62,1.41,0.66,1.01,1.1
400.725,1.81,1.86,1.14,1.06,1.17,1.62,1.32,0.65,0.97,1.14
401.087,1.76,1.78,1.07,0.99,1.06,1.55,1.19,0.61,0.87,1.03
401.449,1.81,1.83,1.05,1.03,1.1,1.6,1.21,0.59,0.89,1.07
401.81,1.78,1.85,1.03,0.98,1.08,1.58,1.18,0.58,0.88,1.05
402.172,1.85,1.92,1.07,1.09,1.16,1.65,1.24,0.63,0.91,1.14
402.534,1.84,1.94,1.07,1.12,1.18,1.6,1.18,0.63,0.91,1.16
402.896,1.94,1.97,1.12,1.17,1.29,1.6,1.31,0.66,0.94,1.18
403.258,1.94,1.99,1.14,1.16,1.32,1.54,1.27,0.67,0.93,1.18
403.619,1.93,1.94,1.1,1.11,1.29,1.52,1.21,0.7,0.95,1.14
403.981,1.99,1.91,1.1,1.09,1.28,1.53,1.2,0.71,0.93,1.18
404.343,2,1.94,1.09,1.13,1.29,1.58,1.21,0.7,0.93,1.13
404.704,2.03,1.96,1.1,1.11,1.33,1.55,1.25,0.72,0.98,1.12
405.066,2.03,1.99,1.12,1.12,1.42,1.57,1.3,0.7,1.03,1.19
405.427,1.97,1.99,1.11,1.12,1.46,1.54,1.28,0.67,1.05,1.19
405.789,2.03,2.01,1.16,1.19,1.47,1.54,1.38,0.7,1.06,1.21
