wavelength,fac_1,fac_2,fac_3,fac_4,fac_5,fac_6,fac_7,fac_8,fac_9,fac_10
438.149,5.8,6.35,5.6,6.48,5.08,6.31,3.28,7.95,6.06,4.58
438.506,5.78,6.31,5.58,6.42,5.1,6.27,3.27,7.93,6,4.56
438.864,5.84,6.35,5.63,6.44,5.13,6.33,3.32,7.94,6.06,4.59
439.221,5.86,6.35,5.65,6.41,5.16,6.37,3.32,7.95,6.12,4.63
439.579,5.89,6.36,5.65,6.44,5.15,6.4,3.36,7.94,6.1,4.68
439.936,5.96,6.39,5.7,6.43,5.19,6.46,3.39,8.01,6.16,4.73
440.294,6.05,6.51,5.77,6.46,5.25,6.52,3.47,8.08,6.24,4.76
440.651,6.12,6.61,5.84,6.49,5.34,6.62,3.56,8.14,6.35,4.87
441.009,6.14,6.68,5.92,6.5,5.37,6.67,3.59,8.15,6.4,4.94
441.366,6.16,6.71,5.98,6.56,5.39,6.72,3.64,8.2,6.44,4.98
441.723,6.17,6.74,6.05,6.6,5.41,6.78,3.68,8.15,6.48,5.02
442.08,6.2,6.73,6.09,6.62,5.43,6.79,3.72,8.2,6.54,5.05
442.437,6.22,6.76,6.12,6.7,5.43,6.82,3.77,8.23,6.58,5.11
442.795,6.27,6.8,6.14,6.76,5.46,6.87,3.78,8.31,6.61,5.12
443.152,6.3,6.86,6.13,6.85,5.49,6.85,3.79,8.4,6.57,5.13
443.509,6.31,6.87,6.16,6.87,5.49,6.86,3.77,8.37,6.56,5.09
443.866,6.35,6.87,6.17,6.89,5.5,6.92,3.81,8.36,6.57,5.09
444.223,6.35,6.88,6.19,6.88,5.51,6.93,3.8,8.38,6.57,5.12
444.58,6.3,6.87,6.15,6.91,5.49,6.92,3.81,8.33,6.54,5.09
444.936,6.31,6.82,6.11,6.92,5.49,6.89,3.78,8.34,6.53,5.08
445.293,6.3,6.82,6.09,6.89,5.47,6.88,3.74,8.33,6.5,5.02
445.65,6.29,6.79,6.07,6.84,5.4,6.82,3.72,8.3,6.45,4.99
446.007,6.28,6.78,6.01,6.82,5.39,6.82,3.67,8.28,6.37,4.96
446.363,6.32,6.8,6,6.82,5.43,6.86,3.72,8.31,6.39,4.97
446.72,6.3,6.79,5.99,6.8,5.45,6.82,3.79,8.31,6.36,4.96
447.077,6.25,6.76,5.96,6.73,5.39,6.84,3.77,8.24,6.38,4.94
447.433,6.27,6.75,5.97,6.72,5.47,6.83,3.79,8.27,6.44,4.96
447.79,6.21,6.73,5.99,6.7,5.46,6.79,3.76,8.29,6.41,4.95
448.146,6.19,6.71,5.99,6.72,5.48,6.8,3.78,8.31,6.4,4.95
448.503,6.22,6.73,6.05,6.73,5.48,6.8,3.76,8.35,6.41,4.97
448.859,6.22,6.71,6.08,6.74,5.49,6.8,3.76,8.34,6.43,4.96
449.215,6.24,6.71,6.08,6.76,5.52,6.8,3.8,8.38,6.47,4.99
449.572,6.29,6.73,6.14,6.85,5.65,6.86,3.83,8.46,6.53,5
449.928,6.28,6.74,6.18,6.85,5.69,6.84,3.85,8.45,6.6,4.99
450.284,6.3,6.74,6.2,6.82,5.69,6.8,3.81,8.42,6.62,4.99
450.641,6.28,6.73,6.16,6.84,5.64,6.83,3.8,8.38,6.6,4.98
450.997,6.3,6.71,6.15,6.83,5.65,6.84,3.81,8.37,6.59,4.96
451.353,6.3,6.73,6.13,6.82,5.6,6.84,3.82,8.36,6.58,4.97
451.709,6.31,6.72,6.1,6.82,5.56,6.83,3.81,8.32,6.62,4.96
452.065,6.31,6.68,6.06,6.84,5.57,6.83,3.78,8.28,6.64,4.93
452.421,6.33,6.65,6.04,6.83,5.59,6.78,3.81,8.28,6.6,4.9
452.777,6.34,6.72,6.1,6.88,5.65,6.83,3.86,8.31,6.6,4.89
453.133,6.33,6.7,6.11,6.88,5.58,6.84,3.84,8.26,6.58,4.92
453.488,6.29,6.68,6.1,6.81,5.53,6.83,3.8,8.22,6.55,4.89
453.844,6.24,6.68,6.08,6.81,5.48,6.82,3.78,8.22,6.53,4.87
454.2,6.15,6.63,6.06,6.86,5.5,6.81,3.73,8.24,6.54,4.83
454.556,6.14,6.59,6.12,6.85,5.5,6.79,3.67,8.27,6.54,4.83
454.911,6.1,6.61,6.15,6.88,5.51,6.74,3.63,8.31,6.55,4.83
455.267,6.11,6.61,6.17,6.9,5.51,6.74,3.64,8.33,6.58,4.83
