wavelength,fac_1,fac_2,fac_3,fac_4,fac_5,fac_6,fac_7,fac_8,fac_9,fac_10
683.765,30.13,26.1,21.96,21.27,22.67,18.77,6.82,11.38,13.27,9.04
684.091,30.25,26.15,22.15,21.37,22.58,18.83,6.77,11.41,13.11,9.03
684.417,30.44,26.27,22.26,21.57,22.63,18.97,6.77,11.63,13.13,9.12
684.743,30.54,26.19,22.32,21.6,22.7,19.13,6.8,11.79,13.14,9.2
685.069,30.29,25.91,22.21,21.53,22.49,18.95,6.76,11.8,13.13,9.12
685.395,30.16,25.94,22.18,21.64,22.15,18.92,6.72,11.75,12.96,8.96
685.721,30.23,26,22.2,21.64,22.07,18.88,6.64,11.72,12.86,8.85
686.047,30.02,25.84,22.43,21.72,21.84,18.81,6.39,11.55,13,8.87
686.373,29.95,26.05,22.64,21.7,22.04,18.84,6.61,11.75,13.28,8.77
686.699,30.16,26.25,22.78,21.81,22.2,19.05,6.85,11.86,13.3,8.69
687.024,30.39,26.42,22.91,21.98,22.32,19.39,7,11.99,13.26,8.76
687.35,30.41,26.46,22.97,21.95,22.37,19.49,7.07,12.01,13.27,8.79
687.676,30.42,26.66,22.74,22,22.34,19.5,7.3,12.05,13.3,8.85
688.001,30.33,26.71,22.65,21.97,22.43,19.39,7.35,11.99,13.39,8.88
688.327,30.32,26.67,22.63,22,22.5,19.27,7.37,12.01,13.51,8.89
688.652,30.2,26.69,22.76,22,22.76,19.36,7.51,11.94,13.53,8.95
688.978,30.28,26.83,22.74,21.99,22.79,19.41,7.59,11.9,13.68,8.88
689.303,30.12,26.67,22.82,21.93,22.84,19.42,7.6,11.93,13.79,8.97
689.629,30.25,26.75,22.73,21.79,22.98,19.61,7.61,12,13.66,8.83
689.954,30.23,26.62,22.7,21.74,22.84,19.61,7.58,11.96,13.48,8.84
690.279,30.18,26.36,22.65,21.7,22.77,19.6,7.38,11.88,13.41,8.8
690.604,30.12,26.3,22.65,21.63,22.71,19.58,7.28,11.87,13.41,8.81
690.93,30.08,26.39,22.58,21.59,22.81,19.49,7.12,11.81,13.44,8.83
691.255,30.11,26.39,22.74,21.62,22.86,19.44,7.06,11.88,13.49,8.83
691.58,30.08,26.36,22.76,21.4,22.74,19.44,7.06,11.83,13.4,8.7
691.905,30.02,26.46,22.76,21.27,22.7,19.38,7.01,11.81,13.22,8.6
692.23,30.41,26.61,22.83,21.5,22.87,19.46,7.03,12.04,13.35,8.64
692.555,30.42,26.41,22.82,21.31,23.02,19.4,6.93,12.03,13.14,8.62
692.88,30.56,26.57,22.75,21.32,23.01,19.41,6.89,11.95,13.06,8.49
693.204,30.44,26.5,22.58,21.31,22.88,19.24,6.94,11.86,13.04,8.5
693.529,30.45,26.6,22.42,21.42,22.81,19.24,6.78,11.7,13.01,8.45
693.854,30.36,26.55,22.45,21.29,22.67,19.07,6.75,11.64,12.91,8.5
694.179,30.32,26.5,22.38,21.29,22.78,19.14,6.81,11.63,12.97,8.41
694.503,30.26,26.52,22.51,21.26,22.77,19.2,6.81,11.48,12.94,8.54
694.828,30.22,26.42,22.37,21.41,22.72,19.33,6.72,11.56,12.97,8.48
695.153,30.36,26.41,22.41,21.68,22.74,19.35,6.73,11.75,12.87,8.62
695.477,30.38,26.32,22.32,21.82,22.73,19.47,6.64,11.68,12.81,8.61
695.802,30.25,26.35,22.31,21.72,22.62,19.47,6.55,11.47,12.67,8.56
696.126,30.15,26.32,22.29,21.6,22.81,19.33,6.55,11.39,12.6,8.58
696.451,30.15,26.31,22.29,21.58,22.95,19.26,6.64,11.5,12.57,8.68
696.775,30.32,26.36,22.41,21.7,23.25,19.21,6.69,11.62,12.57,8.74
